income_above_50k,age,type_of_work,education,years_of_education,marital_status,occupation,race,sex,hours_per_week,home_country
0,41, Private, HS-grad,9, Divorced, Adm-clerical, White, Female,36, United-States
0,20, Private, Some-college,10, Never-married, Machine-op-inspct, White, Male,40, United-States
0,23, Private, 5th-6th,3, Never-married, Other-service, White, Male,40, El-Salvador
0,26, Private, Some-college,10, Never-married, Prof-specialty, White, Female,35, United-States
0,72, ?, HS-grad,9, Married-civ-spouse, ?, White, Male,20, United-States
0,23, Local-gov, HS-grad,9, Never-married, Farming-fishing, White, Male,40, Poland
0,62, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,40, United-States
0,52, Private, Some-college,10, Married-civ-spouse, Adm-clerical, White, Male,40, United-States
0,58, Private, Some-college,10, Divorced, Other-service, White, Female,42, France
0,25, Private, Bachelors,13, Never-married, Sales, White, Female,40, United-States
0,24, Private, Bachelors,13, Never-married, Exec-managerial, Black, Male,40, United-States
0,19, Private, Some-college,10, Never-married, Protective-serv, White, Male,8, United-States
0,43, Private, Some-college,10, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
0,47, Local-gov, HS-grad,9, Separated, Adm-clerical, Black, Female,40, United-States
0,39, Private, HS-grad,9, Divorced, Other-service, White, Female,40, United-States
0,49, Private, Assoc-voc,11, Married-spouse-absent, Handlers-cleaners, White, Male,42, United-States
0,53, ?, 5th-6th,3, Widowed, ?, Black, Female,30, United-States
0,32, Private, Assoc-voc,11, Never-married, Craft-repair, White, Male,45, United-States
1,34, Private, Some-college,10, Married-civ-spouse, Prof-specialty, White, Male,50, United-States
0,28, Private, HS-grad,9, Divorced, Craft-repair, White, Male,45, United-States
0,57, ?, Assoc-voc,11, Widowed, ?, White, Female,38, United-States
0,25, Private, Some-college,10, Never-married, Adm-clerical, Amer-Indian-Eskimo, Female,20, United-States
0,20, ?, Some-college,10, Never-married, ?, White, Male,24, United-States
0,21, ?, Some-college,10, Never-married, ?, White, Female,35, United-States
1,34, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,50, United-States
1,38, Self-emp-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,80, United-States
1,50, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, White, Male,50, United-States
0,24, Local-gov, Some-college,10, Divorced, Handlers-cleaners, Black, Male,50, United-States
1,37, Local-gov, Some-college,10, Married-civ-spouse, Tech-support, White, Male,45, United-States
1,44, Private, Some-college,10, Divorced, Machine-op-inspct, White, Male,58, United-States
0,28, Private, Some-college,10, Married-civ-spouse, Sales, White, Female,40, United-States
1,42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
0,74, Private, Some-college,10, Divorced, Adm-clerical, White, Female,9, United-States
0,38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,50, United-States
0,44, Self-emp-not-inc, Masters,14, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,44, Private, 11th,7, Divorced, Machine-op-inspct, Other, Female,46, Puerto-Rico
0,26, Private, HS-grad,9, Never-married, Machine-op-inspct, White, Male,40, United-States
0,36, Private, HS-grad,9, Married-civ-spouse, Other-service, Black, Male,40, United-States
1,41, Private, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, White, Female,50, United-States
1,67, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, White, Male,48, United-States
0,39, Local-gov, 12th,8, Married-civ-spouse, Tech-support, White, Male,50, United-States
0,57, Private, 1st-4th,2, Widowed, Priv-house-serv, Black, Female,30, United-States
0,29, Private, Assoc-voc,11, Separated, Craft-repair, White, Male,40, United-States
0,31, Self-emp-inc, Bachelors,13, Never-married, Farming-fishing, White, Female,45, United-States
0,34, ?, HS-grad,9, Never-married, ?, Black, Female,40, United-States
0,44, Private, Some-college,10, Married-civ-spouse, Transport-moving, White, Male,40, United-States
0,29, Private, Doctorate,16, Never-married, Prof-specialty, White, Male,40, United-States
0,30, Private, Some-college,10, Never-married, Handlers-cleaners, White, Female,40, United-States
0,27, Private, HS-grad,9, Never-married, Transport-moving, White, Male,40, United-States
0,27, Private, Some-college,10, Married-civ-spouse, Sales, White, Male,50, United-States
0,32, Private, HS-grad,9, Never-married, Handlers-cleaners, White, Female,45, United-States
0,58, Private, 10th,6, Married-civ-spouse, Other-service, White, Female,8, United-States
0,35, Local-gov, Some-college,10, Married-civ-spouse, Protective-serv, White, Male,40, United-States
0,21, Private, HS-grad,9, Never-married, Handlers-cleaners, White, Male,36, United-States
0,28, Private, Some-college,10, Never-married, Craft-repair, White, Male,40, United-States
0,46, Self-emp-not-inc, Some-college,10, Divorced, Exec-managerial, White, Male,50, United-States
0,36, Self-emp-not-inc, HS-grad,9, Separated, Other-service, White, Female,40, United-States
0,72, Private, 11th,7, Widowed, Adm-clerical, White, Female,40, United-States
0,35, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Black, Female,40, United-States
1,33, Federal-gov, Assoc-voc,11, Divorced, Craft-repair, Black, Female,40, United-States
0,69, Private, 11th,7, Never-married, Machine-op-inspct, White, Female,40, United-States
0,35, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States
0,31, Private, HS-grad,9, Separated, Adm-clerical, White, Female,20, ?
0,34, Private, HS-grad,9, Married-civ-spouse, Tech-support, White, Female,32, United-States
0,30, Private, 11th,7, Married-civ-spouse, Other-service, White, Male,40, Mexico
0,28, Private, Bachelors,13, Never-married, Transport-moving, White, Male,55, United-States
1,54, Private, Bachelors,13, Married-civ-spouse, Sales, White, Male,35, United-States
1,47, Private, Some-college,10, Married-civ-spouse, Prof-specialty, White, Male,50, United-States
0,24, Private, HS-grad,9, Never-married, Handlers-cleaners, Black, Female,40, United-States
1,52, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,60, United-States
0,20, Private, HS-grad,9, Never-married, Handlers-cleaners, Amer-Indian-Eskimo, Male,48, United-States
0,43, Self-emp-inc, Masters,14, Married-civ-spouse, Exec-managerial, White, Male,45, United-States
0,45, Private, 7th-8th,4, Separated, Other-service, White, Female,40, Mexico
0,29, Self-emp-not-inc, HS-grad,9, Separated, Craft-repair, White, Male,35, United-States
0,47, Private, Masters,14, Divorced, Exec-managerial, White, Male,42, United-States
0,24, Private, HS-grad,9, Never-married, Craft-repair, White, Male,40, United-States
0,51, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,17, Private, 11th,7, Never-married, Sales, White, Male,12, United-States
1,37, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,27, Private, Doctorate,16, Never-married, Prof-specialty, White, Female,70, United-States
1,29, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
0,18, ?, 12th,8, Never-married, ?, White, Male,25, United-States
0,36, Self-emp-not-inc, Assoc-acdm,12, Divorced, Sales, White, Female,35, United-States
0,58, Local-gov, Bachelors,13, Never-married, Prof-specialty, White, Female,40, United-States
0,26, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,45, United-States
1,65, ?, Some-college,10, Married-civ-spouse, ?, White, Male,30, United-States
1,57, Private, HS-grad,9, Married-civ-spouse, Sales, White, Male,40, United-States
0,59, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,27, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States
0,31, Self-emp-not-inc, Bachelors,13, Never-married, Tech-support, White, Male,40, United-States
0,21, Private, Some-college,10, Never-married, Sales, White, Female,24, United-States
0,29, Private, Some-college,10, Never-married, Adm-clerical, White, Male,60, United-States
0,18, Private, 11th,7, Never-married, Other-service, White, Male,40, United-States
1,52, Private, 10th,6, Married-civ-spouse, Craft-repair, White, Male,47, United-States
0,57, Self-emp-inc, Bachelors,13, Divorced, Prof-specialty, White, Male,80, United-States
0,42, ?, HS-grad,9, Married-civ-spouse, ?, White, Male,40, United-States
0,55, ?, HS-grad,9, Married-civ-spouse, ?, Asian-Pac-Islander, Female,40, United-States
1,60, Private, 7th-8th,4, Never-married, Transport-moving, White, Male,48, United-States
1,31, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,40, Canada
0,23, Private, Bachelors,13, Never-married, Adm-clerical, White, Female,40, United-States
0,27, Private, HS-grad,9, Never-married, Sales, White, Male,40, United-States
0,23, ?, Some-college,10, Never-married, ?, Amer-Indian-Eskimo, Female,25, United-States
1,42, Self-emp-not-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, White, Male,50, United-States
0,25, Private, Some-college,10, Never-married, Tech-support, White, Male,40, United-States
0,49, Private, Bachelors,13, Never-married, Prof-specialty, White, Female,45, United-States
0,32, Private, Bachelors,13, Never-married, Tech-support, White, Male,40, United-States
0,19, Private, Some-college,10, Never-married, Adm-clerical, White, Male,28, United-States
0,60, Private, 7th-8th,4, Divorced, Other-service, White, Female,40, United-States
0,42, Local-gov, 9th,5, Married-civ-spouse, Other-service, White, Male,40, United-States
0,35, Self-emp-not-inc, Assoc-acdm,12, Never-married, Farming-fishing, White, Male,40, United-States
0,48, Private, HS-grad,9, Never-married, Adm-clerical, Black, Female,37, United-States
1,51, Private, Masters,14, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,29, Private, HS-grad,9, Never-married, Craft-repair, Amer-Indian-Eskimo, Male,40, United-States
0,36, Local-gov, HS-grad,9, Separated, Exec-managerial, Black, Male,40, United-States
0,17, Private, 10th,6, Never-married, Other-service, White, Female,21, United-States
0,52, Private, Masters,14, Divorced, Prof-specialty, White, Female,60, United-States
0,24, Private, HS-grad,9, Never-married, Craft-repair, White, Male,40, United-States
0,24, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, White, Male,50, United-States
0,26, Local-gov, Bachelors,13, Never-married, Prof-specialty, White, Male,40, United-States
0,27, Private, Bachelors,13, Never-married, Other-service, White, Female,20, United-States
0,39, Private, HS-grad,9, Never-married, Handlers-cleaners, White, Male,60, United-States
0,30, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Black, Male,45, United-States
0,50, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, White, Male,32, United-States
0,52, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, White, Male,55, United-States
1,46, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, White, Male,45, United-States
0,23, Private, Bachelors,13, Never-married, Sales, White, Female,20, United-States
0,45, Private, 11th,7, Widowed, Other-service, Black, Female,20, United-States
0,65, Private, 9th,5, Widowed, Priv-house-serv, Black, Female,24, United-States
0,29, Private, Assoc-voc,11, Married-civ-spouse, Transport-moving, White, Male,55, United-States
0,47, Private, 9th,5, Married-spouse-absent, Handlers-cleaners, White, Male,40, El-Salvador
0,30, Private, HS-grad,9, Never-married, Farming-fishing, Black, Male,60, United-States
1,34, Private, HS-grad,9, Married-civ-spouse, Sales, White, Male,45, United-States
0,38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, White, Male,64, United-States
1,33, Private, Some-college,10, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
1,49, Private, Bachelors,13, Married-civ-spouse, Sales, White, Male,26, United-States
0,47, Self-emp-not-inc, Some-college,10, Never-married, Other-service, Black, Female,40, United-States
0,49, Local-gov, 10th,6, Separated, Other-service, Black, Female,40, United-States
1,43, Private, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,60, United-States
1,30, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Black, Female,40, United-States
0,58, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,60, United-States
0,19, Private, HS-grad,9, Never-married, Other-service, White, Female,14, United-States
0,21, Private, Bachelors,13, Never-married, Handlers-cleaners, White, Male,40, United-States
1,33, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,60, United-States
0,47, Self-emp-inc, 5th-6th,3, Married-civ-spouse, Transport-moving, White, Male,50, Cuba
1,52, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, White, Male,60, United-States
0,26, Private, HS-grad,9, Divorced, Craft-repair, White, Male,55, United-States
0,60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,21, Private, Some-college,10, Never-married, Handlers-cleaners, White, Male,40, United-States
1,36, Private, Some-college,10, Married-civ-spouse, Sales, White, Male,50, United-States
0,31, Private, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,45, United-States
1,50, Self-emp-inc, Doctorate,16, Separated, Prof-specialty, White, Male,40, United-States
0,31, Local-gov, HS-grad,9, Divorced, Adm-clerical, White, Female,40, United-States
0,71, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,15, United-States
0,58, ?, HS-grad,9, Married-civ-spouse, ?, White, Male,50, United-States
1,30, State-gov, Bachelors,13, Married-civ-spouse, Tech-support, White, Male,40, United-States
0,20, Private, Some-college,10, Never-married, Other-service, White, Male,20, United-States
0,24, Private, HS-grad,9, Never-married, Exec-managerial, White, Male,50, United-States
1,35, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, Taiwan
0,38, State-gov, Some-college,10, Separated, Exec-managerial, White, Female,45, United-States
0,27, Private, HS-grad,9, Never-married, Machine-op-inspct, White, Female,32, United-States
0,29, State-gov, Some-college,10, Never-married, Adm-clerical, Asian-Pac-Islander, Female,40, Philippines
0,70, ?, 9th,5, Widowed, ?, White, Female,15, United-States
0,34, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,45, United-States
0,44, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, White, Male,35, United-States
1,43, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States
1,44, Self-emp-not-inc, 12th,8, Married-civ-spouse, Handlers-cleaners, Black, Male,40, United-States
0,35, Private, Masters,14, Never-married, Sales, White, Male,60, United-States
0,27, Private, Some-college,10, Never-married, Prof-specialty, White, Male,40, United-States
0,43, Local-gov, Masters,14, Never-married, Prof-specialty, White, Male,38, United-States
0,20, Private, Some-college,10, Never-married, Sales, White, Female,25, United-States
1,42, Private, Assoc-acdm,12, Divorced, Prof-specialty, White, Female,40, United-States
0,27, State-gov, Some-college,10, Married-civ-spouse, Transport-moving, White, Male,40, United-States
1,42, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Black, Male,40, United-States
0,20, ?, 11th,7, Married-spouse-absent, ?, Asian-Pac-Islander, Female,40, South
0,24, Private, 9th,5, Never-married, Machine-op-inspct, White, Male,40, United-States
0,48, Federal-gov, Some-college,10, Divorced, Exec-managerial, White, Male,40, United-States
0,17, ?, 11th,7, Never-married, ?, White, Female,20, United-States
0,17, Self-emp-not-inc, 11th,7, Never-married, Farming-fishing, White, Male,10, United-States
1,33, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
1,50, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, White, Male,50, United-States
0,22, Private, HS-grad,9, Never-married, Sales, White, Female,40, United-States
0,17, Private, 12th,8, Never-married, Other-service, White, Male,16, United-States
0,32, Private, Some-college,10, Married-civ-spouse, Adm-clerical, White, Male,40, Mexico
0,31, Private, HS-grad,9, Never-married, Craft-repair, White, Male,45, United-States
0,58, Self-emp-not-inc, HS-grad,9, Widowed, Exec-managerial, White, Male,50, United-States
0,29, Local-gov, HS-grad,9, Never-married, Protective-serv, White, Male,48, United-States
1,37, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, White, Male,40, Portugal
1,34, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,23, Local-gov, Some-college,10, Separated, Exec-managerial, Black, Male,40, United-States
0,18, State-gov, 11th,7, Never-married, Adm-clerical, White, Female,5, United-States
0,34, Private, HS-grad,9, Divorced, Exec-managerial, White, Female,40, United-States
0,66, ?, 7th-8th,4, Never-married, ?, White, Male,4, United-States
0,45, Local-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Female,55, United-States
0,41, Private, Masters,14, Never-married, Exec-managerial, White, Male,35, Dominican-Republic
0,26, Private, HS-grad,9, Never-married, Other-service, White, Male,30, United-States
0,54, Local-gov, Some-college,10, Married-civ-spouse, Farming-fishing, White, Male,40, United-States
0,24, Private, Some-college,10, Never-married, Machine-op-inspct, Black, Female,45, United-States
0,42, Private, Some-college,10, Married-civ-spouse, Prof-specialty, White, Male,50, United-States
0,20, Private, Some-college,10, Never-married, Prof-specialty, White, Male,20, United-States
0,23, State-gov, Bachelors,13, Never-married, Tech-support, White, Female,20, United-States
0,25, ?, Assoc-acdm,12, Never-married, ?, White, Male,45, United-States
1,35, Private, Masters,14, Never-married, Prof-specialty, White, Male,60, United-States
1,31, Private, Masters,14, Married-civ-spouse, Tech-support, White, Male,40, United-States
0,30, Private, Bachelors,13, Never-married, Prof-specialty, White, Female,40, Poland
0,19, Private, HS-grad,9, Never-married, Sales, White, Female,20, United-States
0,36, Local-gov, Bachelors,13, Never-married, Prof-specialty, White, Male,50, United-States
0,31, Private, Bachelors,13, Widowed, Sales, White, Female,40, Cuba
0,21, Private, Some-college,10, Never-married, Handlers-cleaners, White, Male,30, United-States
0,31, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,40, United-States
1,46, Private, Doctorate,16, Divorced, Prof-specialty, White, Female,65, United-States
1,44, Private, Bachelors,13, Divorced, Exec-managerial, White, Female,50, United-States
0,40, Private, 12th,8, Married-civ-spouse, Other-service, Black, Male,40, Jamaica
0,45, Private, Some-college,10, Never-married, Sales, Black, Male,40, United-States
0,60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,35, United-States
0,18, Private, 11th,7, Never-married, Other-service, White, Male,25, United-States
0,28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,36, Private, Some-college,10, Divorced, Adm-clerical, Black, Female,40, United-States
0,36, Private, Bachelors,13, Separated, Prof-specialty, White, Male,40, ?
0,40, Private, Assoc-voc,11, Married-civ-spouse, Tech-support, White, Male,40, United-States
0,36, Local-gov, Bachelors,13, Divorced, Adm-clerical, White, Female,35, Honduras
0,31, Private, HS-grad,9, Separated, Other-service, Black, Female,40, United-States
0,33, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States
0,19, State-gov, HS-grad,9, Never-married, Tech-support, White, Female,40, United-States
0,22, Private, Some-college,10, Never-married, Sales, White, Female,15, United-States
1,34, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,45, United-States
0,33, Private, HS-grad,9, Never-married, Other-service, White, Male,40, United-States
0,41, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,60, United-States
0,29, Private, Bachelors,13, Never-married, Prof-specialty, White, Male,40, United-States
1,50, Local-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, White, Male,42, United-States
1,42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,45, United-States
1,43, Private, Bachelors,13, Never-married, Prof-specialty, White, Male,40, ?
0,44, Private, HS-grad,9, Married-civ-spouse, Sales, White, Female,40, United-States
0,20, Private, Some-college,10, Never-married, Other-service, White, Female,20, United-States
0,31, Private, HS-grad,9, Married-civ-spouse, Other-service, White, Male,40, Mexico
1,65, Self-emp-not-inc, 11th,7, Married-civ-spouse, Exec-managerial, White, Male,59, ?
0,23, Private, Some-college,10, Never-married, Other-service, White, Female,24, United-States
0,55, Private, Some-college,10, Divorced, Adm-clerical, Asian-Pac-Islander, Female,40, United-States
0,26, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, White, Male,45, United-States
0,25, Private, Assoc-voc,11, Never-married, Other-service, White, Female,15, United-States
0,45, ?, Some-college,10, Married-civ-spouse, ?, Black, Female,40, United-States
0,35, Private, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,36, Private, Some-college,10, Never-married, Sales, Black, Female,36, United-States
0,43, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,50, United-States
0,56, Private, HS-grad,9, Widowed, Other-service, Black, Female,20, United-States
1,42, Private, Bachelors,13, Married-civ-spouse, Tech-support, White, Male,40, United-States
0,19, Private, Some-college,10, Never-married, Other-service, White, Female,25, United-States
0,55, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,72, United-States
1,42, Private, Masters,14, Never-married, Exec-managerial, White, Female,50, United-States
0,26, Private, Assoc-voc,11, Never-married, Tech-support, White, Male,40, United-States
0,17, Private, 12th,8, Never-married, Handlers-cleaners, White, Male,20, United-States
1,42, Local-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Female,40, United-States
1,55, Private, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,40, United-States
0,32, Private, Some-college,10, Never-married, Adm-clerical, Black, Female,40, United-States
0,29, Private, 11th,7, Never-married, Craft-repair, Black, Male,40, Haiti
0,46, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,37, United-States
1,29, State-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
0,22, Private, Bachelors,13, Never-married, Prof-specialty, White, Male,20, United-States
0,58, Self-emp-not-inc, 10th,6, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,23, Private, HS-grad,9, Never-married, Transport-moving, White, Male,50, United-States
0,39, Private, HS-grad,9, Never-married, Handlers-cleaners, White, Male,40, United-States
0,27, Private, Assoc-voc,11, Never-married, Craft-repair, White, Male,38, United-States
1,54, Private, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,40, United-States
0,33, Local-gov, Bachelors,13, Never-married, Prof-specialty, White, Female,45, United-States
1,46, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, White, Female,40, United-States
0,37, Private, HS-grad,9, Never-married, Farming-fishing, Black, Male,40, United-States
0,36, Private, HS-grad,9, Never-married, Other-service, White, Female,18, United-States
1,59, Local-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, White, Female,38, United-States
0,34, Local-gov, HS-grad,9, Divorced, Protective-serv, White, Male,40, Portugal
1,53, Self-emp-inc, Doctorate,16, Married-civ-spouse, Exec-managerial, White, Male,70, United-States
1,51, Private, Bachelors,13, Never-married, Sales, White, Male,55, United-States
0,32, Private, 10th,6, Separated, Other-service, White, Female,42, United-States
0,31, State-gov, Some-college,10, Married-spouse-absent, Other-service, White, Male,40, United-States
0,22, Private, Some-college,10, Married-civ-spouse, Sales, White, Female,30, Germany
0,47, Self-emp-not-inc, Bachelors,13, Divorced, Sales, White, Female,50, United-States
0,32, Private, HS-grad,9, Never-married, Machine-op-inspct, White, Male,40, United-States
0,26, Private, Some-college,10, Never-married, Farming-fishing, White, Female,38, United-States
0,37, Private, 5th-6th,3, Separated, Farming-fishing, White, Male,32, Guatemala
0,31, Private, HS-grad,9, Divorced, Craft-repair, White, Male,55, United-States
1,37, Private, Assoc-voc,11, Married-civ-spouse, Tech-support, White, Female,24, United-States
0,55, Private, HS-grad,9, Never-married, Sales, White, Male,38, United-States
0,23, Local-gov, Assoc-voc,11, Divorced, Tech-support, White, Male,56, United-States
0,36, Private, Some-college,10, Divorced, Adm-clerical, White, Female,40, United-States
0,34, Private, Masters,14, Married-civ-spouse, Prof-specialty, White, Male,40, ?
1,43, Private, Bachelors,13, Married-civ-spouse, Sales, White, Male,50, United-States
0,54, Private, Some-college,10, Never-married, Tech-support, White, Male,40, United-States
0,43, State-gov, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,40, ?
0,28, Private, Assoc-voc,11, Never-married, Machine-op-inspct, White, Female,42, United-States
1,40, Private, Assoc-voc,11, Married-civ-spouse, Exec-managerial, White, Male,50, United-States
0,41, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Exec-managerial, White, Male,60, United-States
1,40, Private, Bachelors,13, Never-married, Sales, Other, Female,55, United-States
0,42, Private, Some-college,10, Divorced, Adm-clerical, Black, Female,38, United-States
0,61, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, White, Male,50, United-States
0,18, Private, 12th,8, Never-married, Machine-op-inspct, White, Male,30, United-States
0,59, ?, HS-grad,9, Married-civ-spouse, ?, White, Male,16, United-States
0,21, ?, HS-grad,9, Never-married, ?, White, Female,40, United-States
1,48, Private, Assoc-voc,11, Married-civ-spouse, Tech-support, White, Male,50, United-States
0,41, Self-emp-inc, Bachelors,13, Married-civ-spouse, Tech-support, White, Male,40, United-States
0,18, ?, Some-college,10, Never-married, ?, White, Male,33, United-States
0,23, Private, HS-grad,9, Never-married, Sales, White, Female,40, United-States
1,60, Private, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,60, United-States
0,22, Private, Some-college,10, Never-married, Other-service, Black, Male,20, United-States
0,61, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States
0,25, Private, HS-grad,9, Never-married, Machine-op-inspct, Black, Male,40, United-States
1,46, Private, Masters,14, Never-married, Tech-support, White, Male,35, United-States
1,43, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,40, England
0,43, Private, Assoc-acdm,12, Divorced, Craft-repair, White, Male,40, United-States
0,24, Private, HS-grad,9, Never-married, Other-service, Black, Male,30, United-States
0,68, Self-emp-not-inc, 11th,7, Never-married, Farming-fishing, White, Male,20, United-States
0,31, Private, HS-grad,9, Divorced, Adm-clerical, White, Female,38, United-States
0,17, Private, 11th,7, Never-married, Sales, White, Female,20, United-States
1,32, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,48, United-States
0,50, ?, Masters,14, Married-spouse-absent, ?, White, Male,40, United-States
1,33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,47, United-States
1,64, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,20, Private, HS-grad,9, Never-married, Transport-moving, White, Male,30, United-States
0,30, Private, HS-grad,9, Separated, Other-service, White, Female,36, United-States
0,22, ?, Some-college,10, Never-married, ?, Black, Male,40, United-States
0,43, Private, Some-college,10, Divorced, Exec-managerial, White, Male,45, United-States
0,22, Private, Some-college,10, Never-married, Adm-clerical, White, Male,40, United-States
0,17, Private, 10th,6, Never-married, Farming-fishing, White, Male,20, United-States
0,47, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, White, Female,75, Italy
0,41, Private, Assoc-voc,11, Never-married, Prof-specialty, White, Female,60, United-States
1,56, Private, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,50, United-States
0,64, Private, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,45, United-States
1,47, Private, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,50, United-States
0,48, Private, Assoc-voc,11, Never-married, Adm-clerical, White, Male,40, United-States
0,31, Private, Masters,14, Never-married, Prof-specialty, White, Female,46, United-States
0,29, Private, Assoc-voc,11, Never-married, Tech-support, White, Male,40, United-States
0,30, Private, HS-grad,9, Widowed, Adm-clerical, White, Female,40, United-States
0,32, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, White, Male,60, United-States
1,57, Private, HS-grad,9, Widowed, Transport-moving, White, Male,42, United-States
0,62, Private, HS-grad,9, Widowed, Other-service, White, Female,40, United-States
0,39, Private, HS-grad,9, Separated, Machine-op-inspct, White, Female,24, United-States
0,43, Private, Some-college,10, Never-married, Adm-clerical, White, Male,25, United-States
0,24, Self-emp-inc, Bachelors,13, Never-married, Sales, White, Male,40, United-States
0,42, ?, 11th,7, Married-civ-spouse, ?, White, Male,15, United-States
1,53, Private, Some-college,10, Married-civ-spouse, Adm-clerical, White, Female,40, United-States
0,26, Private, Some-college,10, Never-married, Handlers-cleaners, White, Male,40, United-States
